record_id,order_id,date,product,city,purchase_type,payment_method,manager,price,quantity,revenue
rec_71ff53ee883814f6,10674,2022-12-21,Sides & Other,Lisbon,In-store,Cash,Joao Silva,4.99,200.4,1000.0
rec_9f7662c43bbf79d2,10673,2022-12-21,Beverages,Lisbon,In-store,Cash,Joao Silva,2.95,745.76,2199.99
rec_a5f4a2ec7bbadcb5,10671,2022-12-21,Chicken Sandwiches,Lisbon,In-store,Cash,Joao Silva,9.95,221.11,2200.04
rec_08fc4d8c56d5b50d,10677,2022-12-22,Fries,Lisbon,In-store,Cash,Joao Silva,3.49,630.37,2199.99
rec_1a43c5f9694bdc53,10676,2022-12-22,Chicken Sandwiches,Lisbon,In-store,Cash,Joao Silva,9.95,241.21,2400.04
rec_27bf02b2858262be,10679,2022-12-22,Sides & Other,Lisbon,In-store,Cash,Joao Silva,4.99,200.4,1000.0
rec_7bacebce6958dca3,10675,2022-12-22,Burgers,Lisbon,In-store,Cash,Joao Silva,12.99,677.44,8799.95
rec_aea3613b0412d983,10678,2022-12-22,Beverages,Lisbon,In-store,Cash,Joao Silva,2.95,745.76,2199.99
rec_07e50c4ece37c2f5,10684,2022-12-23,Sides & Other,Lisbon,In-store,Cash,Joao Silva,4.99,200.4,1000.0
rec_19067eab4d39d1c4,10683,2022-12-23,Beverages,Lisbon,In-store,Cash,Joao Silva,2.95,677.97,2000.01
rec_5819606859cb0e44,10680,2022-12-23,Burgers,Lisbon,In-store,Cash,Joao Silva,12.99,646.65,8399.98
rec_aec03487f50d1620,10681,2022-12-23,Chicken Sandwiches,Lisbon,In-store,Cash,Joao Silva,9.95,241.21,2400.04
rec_c9e773496e4c399a,10682,2022-12-23,Fries,Lisbon,In-store,Cash,Joao Silva,3.49,630.37,2199.99
rec_233fd278dcae8a65,10686,2022-12-24,Chicken Sandwiches,Lisbon,In-store,Cash,Joao Silva,9.95,241.21,2400.04
rec_42677569c7d62db0,10688,2022-12-24,Beverages,Berlin,In-store,Cash,Walter Muller,2.95,677.97,2000.01
rec_5a18072686d88cdd,10689,2022-12-24,Sides & Other,Berlin,In-store,Cash,Walter Muller,4.99,200.4,1000.0
rec_740bb7241c3eba5e,10687,2022-12-24,Fries,Berlin,In-store,Cash,Walter Muller,3.49,630.37,2199.99
rec_c58e0f6164964bfc,10685,2022-12-24,Burgers,Lisbon,In-store,Cash,Joao Silva,12.99,677.44,8799.95
rec_104c877d9a01d112,10693,2022-12-25,Beverages,Berlin,In-store,Cash,Walter Muller,2.95,677.97,2000.01
rec_4f5cddd63cf47005,10694,2022-12-25,Sides & Other,Berlin,In-store,Cash,Walter Muller,4.99,200.4,1000.0
rec_ae313e39139ccaed,10690,2022-12-25,Burgers,Berlin,In-store,Cash,Walter Muller,12.99,677.44,8799.95
rec_c52b7730133edc5e,10692,2022-12-25,Fries,Berlin,In-store,Cash,Walter Muller,3.49,630.37,2199.99
rec_fc230899be4bb293,10691,2022-12-25,Chicken Sandwiches,Berlin,In-store,Cash,Walter Muller,9.95,261.31,2600.03
rec_0c29be4a01ae5e66,10696,2022-12-26,Chicken Sandwiches,Berlin,In-store,Cash,Walter Muller,9.95,281.41,2800.03
rec_19dfa384f7aaf048,10699,2022-12-26,Sides & Other,Berlin,In-store,Cash,Walter Muller,4.99,200.4,1000.0
rec_5d76854a8075c348,10697,2022-12-26,Fries,Berlin,In-store,Cash,Walter Muller,3.49,630.37,2199.99
rec_a0ebedb4362178e3,10695,2022-12-26,Burgers,Berlin,In-store,Cash,Walter Muller,12.99,692.84,8999.99
rec_de88e5ff7bc77244,10698,2022-12-26,Beverages,Berlin,In-store,Cash,Walter Muller,2.95,677.97,2000.01
rec_a4fab99bbb14950c,10700,2022-12-27,Burgers,Berlin,In-store,Cash,Walter Muller,12.99,692.84,8999.99
rec_d0e176698795760f,10704,2022-12-27,Sides & Other,Berlin,Drive-thru,Gift Card,Walter Muller,4.99,200.4,1000.0
rec_e1ba9460f0591ce7,10701,2022-12-27,Chicken Sandwiches,Berlin,In-store,Cash,Walter Muller,9.95,281.41,2800.03
rec_e2a0bc251f2206c4,10703,2022-12-27,Beverages,Berlin,In-store,Gift Card,Walter Muller,2.95,677.97,2000.01
rec_ee58cd1db28a3f47,10702,2022-12-27,Fries,Berlin,In-store,Cash,Walter Muller,3.49,630.37,2199.99
rec_8c25eddc6a05c9be,10708,2022-12-28,Beverages,Berlin,Drive-thru,Gift Card,Walter Muller,2.95,677.97,2000.01
rec_9e9e4c06a0cb05b1,10705,2022-12-28,Burgers,Berlin,Drive-thru,Gift Card,Walter Muller,12.99,723.63,9399.95
rec_9edef1c561331dd8,10707,2022-12-28,Fries,Berlin,Drive-thru,Gift Card,Walter Muller,3.49,630.37,2199.99
rec_bee70dffe6a3dd43,10709,2022-12-28,Sides & Other,Berlin,Drive-thru,Gift Card,Walter Muller,4.99,200.4,1000.0
rec_c592fece31f1d1ad,10706,2022-12-28,Chicken Sandwiches,Berlin,Drive-thru,Gift Card,Walter Muller,9.95,301.51,3000.02
rec_5d58e6fd9cf3542c,10713,2022-12-29,Beverages,Berlin,Drive-thru,Gift Card,Walter Muller,2.95,677.97,2000.01
rec_5e1766b5da96abed,10712,2022-12-29,Fries,Berlin,Drive-thru,Gift Card,Walter Muller,3.49,630.37,2199.99
rec_982e89e099f3da77,10710,2022-12-29,Burgers,Berlin,Drive-thru,Gift Card,Walter Muller,12.99,754.43,9800.05
rec_faed665a75561fff,10711,2022-12-29,Chicken Sandwiches,Berlin,Drive-thru,Gift Card,Walter Muller,9.95,281.41,2800.03
