source_row_number,action,field,reason,old_value,new_value
199,repaired,payment_method,standardized_whitespace, Gift Card,Gift Card
200,repaired,payment_method,standardized_whitespace, Cash,Cash
201,repaired,payment_method,standardized_whitespace, Cash,Cash
202,repaired,payment_method,standardized_whitespace, Cash,Cash
203,repaired,payment_method,standardized_whitespace, Cash,Cash
204,repaired,payment_method,standardized_whitespace, Cash,Cash
205,repaired,payment_method,standardized_whitespace, Cash,Cash
206,repaired,payment_method,standardized_whitespace, Cash,Cash
207,repaired,payment_method,standardized_whitespace, Cash,Cash
208,repaired,payment_method,standardized_whitespace, Cash,Cash
209,repaired,payment_method,standardized_whitespace, Cash,Cash
210,repaired,payment_method,standardized_whitespace, Cash,Cash
211,repaired,payment_method,standardized_whitespace, Cash,Cash
212,repaired,payment_method,standardized_whitespace, Cash,Cash
213,repaired,payment_method,standardized_whitespace, Cash,Cash
214,repaired,payment_method,standardized_whitespace, Cash,Cash
215,repaired,payment_method,standardized_whitespace, Cash,Cash
216,repaired,payment_method,standardized_whitespace, Cash,Cash
217,repaired,payment_method,standardized_whitespace, Cash,Cash
218,repaired,payment_method,standardized_whitespace, Cash,Cash
219,repaired,payment_method,standardized_whitespace, Cash,Cash
220,repaired,payment_method,standardized_whitespace, Cash,Cash
221,repaired,payment_method,standardized_whitespace, Cash,Cash
222,repaired,payment_method,standardized_whitespace, Cash,Cash
223,repaired,payment_method,standardized_whitespace, Cash,Cash
224,repaired,payment_method,standardized_whitespace, Cash,Cash
225,repaired,payment_method,standardized_whitespace, Cash,Cash
226,repaired,payment_method,standardized_whitespace, Cash,Cash
227,repaired,payment_method,standardized_whitespace, Cash,Cash
228,repaired,payment_method,standardized_whitespace, Cash,Cash
229,repaired,payment_method,standardized_whitespace, Cash,Cash
230,repaired,payment_method,standardized_whitespace, Cash,Cash
231,repaired,payment_method,standardized_whitespace, Cash,Cash
232,repaired,payment_method,standardized_whitespace, Cash,Cash
233,repaired,payment_method,standardized_whitespace, Cash,Cash
234,repaired,payment_method,standardized_whitespace, Cash,Cash
235,repaired,payment_method,standardized_whitespace, Cash,Cash
236,repaired,payment_method,standardized_whitespace, Cash,Cash
237,repaired,payment_method,standardized_whitespace, Cash,Cash
238,repaired,payment_method,standardized_whitespace, Cash,Cash
239,repaired,payment_method,standardized_whitespace, Cash,Cash
240,repaired,payment_method,standardized_whitespace, Cash,Cash
241,repaired,payment_method,standardized_whitespace, Cash,Cash
242,repaired,payment_method,standardized_whitespace, Cash,Cash
243,repaired,payment_method,standardized_whitespace, Cash,Cash
244,repaired,payment_method,standardized_whitespace, Cash,Cash
245,repaired,payment_method,standardized_whitespace, Gift Card,Gift Card
246,repaired,payment_method,standardized_whitespace, Gift Card,Gift Card
247,repaired,payment_method,standardized_whitespace, Gift Card,Gift Card
248,repaired,payment_method,standardized_whitespace, Gift Card,Gift Card
249,repaired,payment_method,standardized_whitespace, Gift Card,Gift Card
250,repaired,payment_method,standardized_whitespace, Gift Card,Gift Card
251,repaired,payment_method,standardized_whitespace, Gift Card,Gift Card
252,repaired,payment_method,standardized_whitespace, Gift Card,Gift Card
253,repaired,payment_method,standardized_whitespace, Gift Card,Gift Card
254,repaired,payment_method,standardized_whitespace, Gift Card,Gift Card
255,repaired,payment_method,standardized_whitespace, Gift Card,Gift Card
2,repaired,manager,standardized_whitespace,Tom      Jackson,Tom Jackson
3,repaired,manager,standardized_whitespace,       Pablo Perez,Pablo Perez
4,repaired,manager,standardized_whitespace,Joao    Silva,Joao Silva
7,repaired,manager,standardized_whitespace,Remy    Monet,Remy Monet
11,repaired,manager,standardized_whitespace,       Remy Monet,Remy Monet
12,repaired,manager,standardized_whitespace,       Remy Monet,Remy Monet
13,repaired,manager,standardized_whitespace,Remy     Monet,Remy Monet
17,repaired,manager,standardized_whitespace,       Pablo Perez,Pablo Perez
18,repaired,manager,standardized_whitespace,       Pablo Perez,Pablo Perez
19,repaired,manager,standardized_whitespace,       Pablo Perez,Pablo Perez
20,repaired,manager,standardized_whitespace,Pablo   Perez,Pablo Perez
21,repaired,manager,standardized_whitespace,       Pablo Perez,Pablo Perez
22,repaired,manager,standardized_whitespace,       Pablo Perez,Pablo Perez
23,repaired,manager,standardized_whitespace,       Pablo Perez,Pablo Perez
25,repaired,manager,standardized_whitespace,Pablo  Perez,Pablo Perez
27,repaired,manager,standardized_whitespace,Pablo    Perez,Pablo Perez
31,repaired,manager,standardized_whitespace,Joao    Silva,Joao Silva
62,repaired,manager,standardized_whitespace,Joao    Silva,Joao Silva
63,repaired,manager,standardized_whitespace,Joao    Silva,Joao Silva
64,repaired,manager,standardized_whitespace,Joao    Silva,Joao Silva
